symbol,name,country,ipo_date,industry,mkt_cap
ONON,On Holding AG,CH,2021-09-15,"Textiles, Apparel & Luxury Goods",9299.361135999998
PPG,PPG Industries Inc,US,1945-12-17,Chemicals,32471.303311
GLMD,Galmed Pharmaceuticals Ltd,IL,2014-03-13,Biotechnology,8.569155
WHD,Cactus Inc,US,2018-02-08,,3275.7520489999997
ZTS,Zoetis Inc,US,2013-02-01,Pharmaceuticals,78284.553397
EQBK,Equity Bancshares Inc,US,2015-11-11,Banking,390.92496
KNTE,Kinnate Biopharma Inc,US,2020-12-03,Biotechnology,284.54056000000014
SWBI,Smith & Wesson Brands Inc,US,1998-10-14,Leisure Products,543.892614
FOXA,Fox Corp,US,2019-02-27,Media,17237.068438
MAS,Masco Corp,US,1969-05-05,Building,10593.555206
PCSA,Processa Pharmaceuticals Inc,US,2013-10-07,Pharmaceuticals,11.549435
EGBN,Eagle Bancorp Inc,US,1988-07-18,Banking,1000.8931130000001
ANVS,Annovis Bio Inc,US,2020-01-29,Biotechnology,103.612303
PCCT,Perception Capital Corp II,US,2021-10-28,,303.6000109584905
TRTN,Triton International Ltd,BM,2005-10-12,Trading Companies & Distributors,3493.978817
MYPS,Playstudios Inc,US,2020-10-23,Media,485.76710999999995
SMSI,Smith Micro Software Inc,US,1995-09-19,Technology,63.957589
TRNS,Transcat Inc,US,1965-07-05,Trading Companies & Distributors,616.7925309999999
EHAB,Enhabit Inc,US,2022-06-23,Health Care,656.9476120000003
AGI,Alamos Gold Inc,CA,2015-07-06,Metals & Mining,6873.71859
INST,Instructure Holdings Inc,US,2021-07-22,Technology,3657.248195000001
CNGL,Canna-Global Acquisition Corp,US,2021-11-30,,313.2738010004728
NUVB,Nuvation Bio Inc,US,2020-07-01,Pharmaceuticals,400.41082799999987
MP,Mp Materials Corp,US,2020-04-30,Metals & Mining,4715.752397
XGN,Exagen Inc,US,2019-09-19,Biotechnology,41.054697
OPGN,OpGen Inc,US,2015-05-05,Biotechnology,7.199165
OII,Oceaneering International Inc,US,1991-12-17,,1721.5202179999999
PJT,PJT Partners Inc,US,2015-09-18,Financial Services,1789.3454190000002
RMBS,Rambus Inc,US,1997-05-14,Semiconductors,5240.488161
LRMR,Larimar Therapeutics Inc,US,2014-06-19,Biotechnology,193.41331200000002
RAIL,FreightCar America Inc,US,2005-04-06,Machinery,53.63845100000001
SILO,Silo Pharma Inc,US,2012-01-05,Biotechnology,7.423172999999999
BAND,Bandwidth Inc,US,2017-11-10,Telecommunication,363.062353
UHAL.B,U-Haul Holding Co,US,1994-03-31,Road & Rail,10138.010809000001
CONX,CONX Corp,US,2020-10-03,,276.7095080000001
ZG,Zillow Group Inc,US,2011-07-20,Real Estate,10446.235622
CENTA,Central Garden & Pet Co,US,1993-07-16,Consumer products,2098.303835
TPR,Tapestry Inc,US,2000-10-05,"Textiles, Apparel & Luxury Goods",9473.715598000004
SHOO,Steven Madden Ltd,US,1993-12-13,"Textiles, Apparel & Luxury Goods",2663.1494859999993
IMRX,Immuneering Corp,US,2021-07-30,Biotechnology,258.238269
RSLS,ReShape Lifesciences Inc,US,2016-10-06,Health Care,1.4277950000000001
EXPR,Express Inc,US,2010-05-13,Retail,50.549052
ICUI,ICU Medical Inc,US,1992-03-31,Health Care,4097.941528000001
AVAH,Aveanna Healthcare Holdings Inc,US,2021-04-29,Health Care,191.434947
WE,WeWork Inc,US,2020-08-05,Real Estate,477.174444
TXN,Texas Instruments Inc,US,1953-10-01,Semiconductors,161615.749044
HCWB,HCW Biologics Inc,US,2021-07-20,Biotechnology,50.24128799999999
MOBQ,Mobiquity Technologies Inc,US,2012-09-10,Media,2.898822
BYRN,Byrna Technologies Inc,US,2013-06-21,Aerospace & Defense,162.90325300000003
EGIO,Edgio Inc,US,2007-06-08,Technology,159.873413
EQT,EQT Corp,US,1950-06-05,Energy ,11574.767245999998
NTB,Bank of N T Butterfield & Son Ltd,BM,2016-09-16,Banking,1292.7039519999998
UVV,Universal Corp,US,1980-03-17,Tobacco,1273.441026
NRBO,Neurobo Pharmaceuticals Inc,US,2016-08-05,Biotechnology,19.159563000000002
SASR,Sandy Spring Bancorp Inc,US,1976-01-16,Banking,1110.150239
ROIV,Roivant Sciences Ltd,GB,2020-12-03,Biotechnology,5597.194064000001
NJR,New Jersey Resources Corp,US,1980-03-17,Utilities,5308.493634999999
TTI,Tetra Technologies Inc,US,1990-04-03,,357.681169
JWAC,Jupiter Wellness Acquisition Corp,US,2021-12-07,,191.535253
PLXS,Plexus Corp,US,1986-02-05,Electrical Equipment,2582.702511
ICCH,ICC Holdings Inc,US,2017-03-28,Insurance,49.63003
MBUU,Malibu Boats Inc,US,2014-01-31,Leisure Products,1056.3292849999998
CDXS,Codexis Inc,US,2010-04-22,Life Sciences Tools & Services,268.403519
AGR,Avangrid Inc,US,2015-12-17,Utilities,15805.731931999999
PLAB,Photronics Inc,US,1987-03-10,Semiconductors,958.9852190000003
AMTB,Amerant Bancorp Inc,US,2018-08-13,Banking,695.245551
REAL,RealReal Inc,US,2019-06-28,Retail,115.127908
VRAY,ViewRay Inc,US,2014-11-04,Health Care,572.68685
YETI,Yeti Holdings Inc,US,2018-10-25,Leisure Products,3231.682927
CRON,Cronos Group Inc,CA,2014-05-07,Pharmaceuticals,943.8270210000001
GDRX,Goodrx Holdings Inc,US,2020-09-23,Health Care,2345.6461879999997
TOAC,Talon 1 Acquisition Corp,US,2021-11-03,,303.312505
BTMD,Biote Corp,US,2021-03-02,Pharmaceuticals,414.891325
EFSC,Enterprise Financial Services Corp,US,2001-06-18,Banking,1618.642985
HAFC,Hanmi Financial Corp,US,1993-10-27,Banking,558.372145
VEDU,Visionary Education Technology Holdings Group Inc,CA,2022-05-17,Diversified Consumer Services,39.6425
PNTG,Pennant Group Inc,US,2019-09-19,Health Care,411.720171
INTZ,Intrusion Inc,US,1992-05-21,Technology,26.772726000000002
EBAY,eBay Inc,US,1998-09-23,Retail,23391.874945000003
BLFY,Blue Foundry Bancorp,US,2021-07-16,Banking,266.091146
TDOC,Teladoc Health Inc,US,2015-07-01,Health Care,4224.794457
TIRX,Tian Ruixiang Holdings Ltd,CN,2021-01-27,Insurance,3.6022199999999995
EPSN,Epsilon Energy Ltd,US,2019-02-19,Energy ,121.510153
CRVS,Corvus Pharmaceuticals Inc,US,2016-03-23,Biotechnology,50.293995
PVH,PVH Corp,US,1920-03-25,"Textiles, Apparel & Luxury Goods",5255.328918
AREC,American Resources Corp,US,2015-08-03,Energy ,104.023899
IVCP,Swiftmerge Acquisition Corp,CA,2021-12-15,,290.249991
IRIX,IRIDEX Corp,US,1996-02-16,Health Care,33.134821
PARAA,Paramount Global,US,1990-06-18,Media,14225.334564
SENEA,Seneca Foods Corp,US,1995-09-20,Food Products,391.5009
VRA,Vera Bradley Inc,US,2010-10-21,"Textiles, Apparel & Luxury Goods",180.76423400000002
BWEN,Broadwind Inc,US,2004-03-29,Electrical Equipment,69.85819600000002
VRTV,Veritiv Corp,US,2014-06-18,Trading Companies & Distributors,1613.9413220000001
XPDB,Power & Digital Infrastructure Acquisition II Corp,US,2021-12-10,,369.25779900000003
AROC,Archrock Inc,US,2000-05-24,,1557.0461200000002
ZETA,Zeta Global Holdings Corp,US,2021-06-10,Technology,2113.608273
VAXX,Vaxxinity Inc,US,2021-11-11,Biotechnology,291.205623
MGNX,MacroGenics Inc,US,2013-10-10,Biotechnology,453.895083
SEEL,Seelos Therapeutics Inc,US,1993-10-27,Pharmaceuticals,93.73266700000002
ALKT,Alkami Technology Inc,US,2021-04-14,Technology,1143.62798
MEOA,Minority Equality Opportunities Acquisition Inc,US,2021-08-26,,173.2812801286173
MLTX,MoonLake Immunotherapeutics,CH,2020-10-20,Biotechnology,1110.939384
IR,Ingersoll Rand Inc,US,2017-05-12,Machinery,22053.941269
ABT,Abbott Laboratories,US,1937-03-01,Health Care,182362.704642
AAP,Advance Auto Parts Inc,US,2001-11-29,Retail,7153.752751999999
VRTS,Virtus Investment Partners Inc,US,1992-03-13,Financial Services,1287.006397
TECH,Bio-Techne Corp,US,1989-02-09,Life Sciences Tools & Services,11897.869688999996
RGLS,Regulus Therapeutics Inc,US,2012-10-04,Biotechnology,15.971304
GURE,Gulf Resources Inc,CN,2009-10-27,Chemicals,28.479152000000003
VRSN,Verisign Inc,US,1998-01-29,Technology,22345.584037
VTSI,VirTra Inc,US,1997-11-20,Aerospace & Defense,61.287701
HRI,Herc Holdings Inc,US,2006-11-16,Trading Companies & Distributors,2974.9288299999994
COHR,Coherent Corp,US,1987-10-13,Electrical Equipment,4582.988521000001
CYBR,Cyberark Software Ltd,IL,2014-09-24,Technology,5708.305434000001
WEYS,WEYCO Group Inc,US,1980-03-17,Distributors,245.34062600000004
BKI,Black Knight Inc,US,2017-09-19,Technology,9136.27657
LMFA,LM Funding America Inc,US,2015-12-08,Financial Services,10.216905
PH,Parker-Hannifin Corp,US,1964-12-09,Machinery,40079.288734000016
KFFB,Kentucky First Federal Bancorp,US,2005-03-03,Banking,52.433206999999996
FIVE,Five Below Inc,US,2012-07-19,Retail,11522.958265000001
KBNT,Kubient Inc,US,2020-08-11,Media,8.782144
AZ,A2Z Smart Technologies Corp,CA,2018-04-18,Aerospace & Defense,53.81368199999999
ABBV,Abbvie Inc,US,2013-01-02,Biotechnology,285846.579344
CDLX,Cardlytics Inc,US,2018-02-09,Media,200.45842400000004
PFS,Provident Financial Services Inc,US,2003-01-16,Banking,1384.477167
APRN,Blue Apron Holdings Inc,US,2017-06-29,Retail,26.869913
TT,Trane Technologies PLC,IE,1906-10-10,Building,39098.471923000005
CREC,Crescera Capital Acquisition Corp,BR,2021-11-19,,280.4080000000001
AOGO,Arogo Capital Acquisition Corp,US,2021-12-27,,133.81769
GTLS,Chart Industries Inc,US,1992-12-03,Machinery,4555.807759000001
TCON,TRACON Pharmaceuticals Inc,US,2015-01-30,Biotechnology,49.074436
GT,Goodyear Tire & Rubber Co,US,1927-08-05,Auto Components,2923.504098
BCRX,BioCryst Pharmaceuticals Inc,US,1994-03-04,Biotechnology,1635.755964
IOSP,Innospec Inc,US,1998-05-13,Chemicals,2529.303863
PGRW,Progress Acquisition Corp,US,2021-03-16,,54.97327700000001
CTBI,Community Trust Bancorp Inc,US,1987-12-29,Banking,669.453184
EAT,Brinker International Inc,US,1984-01-09,"Hotels, Restaurants & Leisure",1649.27381
UNP,Union Pacific Corp,US,1969-06-20,Road & Rail,121542.44953399998
OSBC,Old Second Bancorp Inc,US,1993-11-11,Banking,592.259642
ASPS,Altisource Portfolio Solutions SA,LU,2009-07-31,Real Estate,85.548918
AOS,A O Smith Corp,US,1983-09-30,Building,9869.298862
ATI,ATI Inc,US,1987-05-08,Metals & Mining,4839.642692
TA,Travelcenters of America Inc,US,2007-01-29,Retail,1307.0252579999994
CBRE,CBRE Group Inc,US,2004-06-10,Real Estate,21788.505643
OSK,Oshkosh Corp,US,1985-10-02,Machinery,4997.677855
TPL,Texas Pacific Land Corp,US,1980-03-17,Energy ,13332.755083
NKTR,Nektar Therapeutics,US,1994-05-03,Pharmaceuticals,149.722838
GPOR,Gulfport Energy Corp,US,2021-05-18,Energy ,1428.8548
SG,Sweetgreen Inc,US,2021-11-18,"Hotels, Restaurants & Leisure",836.610713
ROC,ROC Energy Acquisition Corp,US,2021-12-02,,280.592943
VAC,Marriott Vacations Worldwide Corp,US,2011-11-08,"Hotels, Restaurants & Leisure",4851.778849000001
BORR,Borr Drilling Ltd,BM,2016-12-19,,20420.343397
SYNH,Syneos Health Inc,US,2014-11-07,Life Sciences Tools & Services,3604.155984999999
ARBG,Aequi Acquisition Corp,US,2020-11-24,,290.949997
KSCP,Knightscope Inc,US,2022-01-27,Commercial Services & Supplies,23.3163
ALK,Alaska Air Group Inc,US,1983-02-23,Airlines,5361.877656000001
BKR,Baker Hughes Co,US,1987-06-04,,28829.817212000005
SMMF,Summit Financial Group Inc,US,1999-01-06,Banking,289.342719
SMWB,Similarweb Ltd,IL,2021-05-12,Technology,422.67880199999996
KFY,Korn Ferry,US,1999-02-11,Professional Services,2601.064236
GBDC,Golub Capital Bdc Inc,US,2010-04-15,Financial Services,2283.166168000001
UNM,Unum Group,US,1986-11-06,Insurance,7662.906348
BFRI,Biofrontera Inc,US,2021-10-14,Pharmaceuticals,16.019401000000002
SGEN,Seagen Inc,US,2001-03-07,Biotechnology,38461.195124
FARO,FARO Technologies Inc,US,1997-09-18,Electrical Equipment,445.094619
GABC,German American Bancorp Inc,US,1993-05-18,Banking,956.1646150000003
M,Macy's Inc,US,1992-02-05,Retail,5015.380965
HSII,Heidrick & Struggles International Inc,US,1999-04-27,Professional Services,569.420834
SMBK,SmartFinancial Inc,US,2001-06-21,Banking,386.83548199999996
MMS,Maximus Inc,US,1997-06-13,Professional Services,4876.446109
AIHS,Senmiao Technology Ltd,CN,2018-03-16,Financial Services,6.65448
GSL,Global Ship Lease Inc,GB,2008-08-14,Marine,662.5811929999999
A,Agilent Technologies Inc,US,1999-11-18,Life Sciences Tools & Services,40815.72506400001
CMI,Cummins Inc,US,1964-09-10,Machinery,31149.207800000004
COLB,Columbia Banking System Inc,US,1992-06-16,Banking,4531.592098
WAFU,Wah Fu Education Group Ltd,CN,2019-04-30,Diversified Consumer Services,8.738087
XYL,Xylem Inc,US,2011-10-13,Machinery,18074.710899
GRTX,Galera Therapeutics Inc,US,2019-11-07,Biotechnology,114.35628099999998
ORCL,Oracle Corp,US,1986-03-12,Technology,258965.00308400003
DDOG,Datadog Inc,US,2019-09-19,Technology,21043.953263
ORGN,Origin Materials Inc,US,2021-06-29,Chemicals,556.6583860000001
AYX,Alteryx Inc,US,2017-03-24,Technology,3743.833426000001
JBHT,J B Hunt Transport Services Inc,US,1983-01-01,Road & Rail,17644.075966999997
F,Ford Motor Co,US,1956-03-07,Automobiles,49149.62264600001
CAMT,Camtek Ltd,IL,2000-07-28,Semiconductors,1169.353523
CMBM,Cambium Networks Corp,US,2019-06-26,Communications,467.22085299999986
NICK,Nicholas Financial Inc,US,1994-08-22,Financial Services,41.318000000000005
MTEK,Maris Tech Ltd,IL,2022-02-02,Electrical Equipment,9.23
BIPC,Brookfield Infrastructure Corp,US,2020-03-19,Utilities,5096.064098513185
AKA,AKA Brands Holding Corp,US,2021-09-22,Retail,55.494834999999995
ENG,ENGlobal Corp,US,1995-01-20,,15.113215
SRAD,Sportradar Group AG,CH,2021-09-14,"Hotels, Restaurants & Leisure",3379.3426820000004
KAVL,Kaival Brands Innovations Group Inc,US,2007-02-15,Distributors,36.509907
BRFH,Barfresh Food Group Inc,US,2011-07-27,Food Products,24.3861
TWLO,Twilio Inc,US,2016-06-23,Technology,11378.813816
NWL,Newell Brands Inc,US,1979-06-28,Consumer products,5021.104216
NCMI,National Cinemedia Inc,US,2007-02-08,Media,10.947019000000001
HPCO,Hempacco Co Inc,US,2022-08-30,Tobacco,16.1275
CMC,Commercial Metals Co,US,1981-05-22,Metals & Mining,5471.72049
XP,XP Inc,BR,2019-12-11,Financial Services,6070.418131
DUET,DUET Acquisition Corp,US,2022-01-20,,116.74027099999999
MBCN,Middlefield Banc Corp,US,2001-08-14,Banking,224.46400000000003
TRIN,Trinity Capital Inc,US,2021-01-29,Financial Services,408.931941
HSY,Hershey Co,US,1927-12-01,Food Products,53282.68922500001
QUAD,Quad/Graphics Inc,US,2010-07-06,Commercial Services & Supplies,201.046688
WTS,Watts Water Technologies Inc,US,1986-08-21,Machinery,5161.217255
OWL,Blue Owl Capital Inc,US,2020-10-23,Financial Services,14944.654889
PYPD,PolyPid Ltd,IL,2020-06-26,Pharmaceuticals,15.692924
PAX,Patria Investments Ltd,KY,2021-01-22,Financial Services,2137.2414309999995
LAW,CS Disco Inc,US,2021-07-21,Technology,355.52302799999995
SSTK,Shutterstock Inc,US,2012-10-11,Media,2559.4726529999994
CETX,Cemtrex Inc,US,2001-06-21,Electrical Equipment,7.21497
AXAC,AXIOS Sustainable Growth Acquisition Corp,US,2022-02-16,,227.99393764988002
HLIO,Helios Technologies Inc,US,1997-01-09,Machinery,1940.6762530000005
IKNA,Ikena Oncology Inc,US,2021-03-26,Pharmaceuticals,150.10601200000002
RILY,B Riley Financial Inc,US,2009-08-03,Financial Services,728.2272779999997
AMPS,Altus Power Inc,US,2020-12-15,Utilities,809.2485889999999
ACAX,Alset Capital Acquisition Corp,US,2022-02-01,,115.926503
TRIP,Tripadvisor Inc,US,2011-12-21,Media,2682.556641000001
MEI,Methode Electronics Inc,US,1982-10-20,Electrical Equipment,1500.6041400000001
CASS,Cass Information Systems Inc,US,1996-07-01,Financial Services,595.166417
COLL,Collegium Pharmaceutical Inc,US,2015-05-07,Pharmaceuticals,800.2236390000003
LATG,LatAmGrowth SPAC,US,2022-01-25,,170.137504
XOMA,XOMA Corp,US,1986-06-06,Biotechnology,220.852859
DTIL,Precision BioSciences Inc,US,2019-03-28,Biotechnology,87.901361
CFSB,CFSB Bancorp Inc,US,2022-01-13,Banking,50.868809999999996
HES,Hess Corp,US,1926-03-15,Energy ,43134.703353
CXAC,C5 Acquisition Corp,US,2022-01-07,,374.82813599999986
SSSS,SuRo Capital Corp,US,2011-04-28,Financial Services,104.56935900000002
AEL,American Equity Investment Life Holding Co,US,2003-12-04,Insurance,3119.918209
TWLV,Twelve Seas Investment Co II,US,2021-02-26,,132.585046
JXN,Jackson Financial Inc,US,2021-09-01,Financial Services,2967.704022
ARTL,Artelo Biosciences Inc,US,2015-10-13,Pharmaceuticals,6.7108669999999995
ARIS,Aris Water Solutions Inc,US,2021-10-22,Commercial Services & Supplies,462.34013900000014
IGMS,IGM Biosciences Inc,US,2019-09-18,Biotechnology,482.654799
SATS,EchoStar Corp,US,2007-12-31,Telecommunication,1501.563206
MODV,ModivCare Inc,US,2003-08-19,Health Care,1189.6487910000005
AQMS,Aqua Metals Inc,US,2015-07-31,Commercial Services & Supplies,79.153161
ALSN,Allison Transmission Holdings Inc,US,2012-03-15,Machinery,3960.272485999999
GD,General Dynamics Corp,US,1952-04-25,Aerospace & Defense,62490.46937299999
FNWB,First Northwest Bancorp,US,2015-01-30,Banking,117.733251
GPRO,GoPro Inc,US,2014-06-26,Consumer products,756.1242499999997
FTAI,FTAI Aviation Ltd,US,2015-05-14,Trading Companies & Distributors,2673.7288140000005
LECO,Lincoln Electric Holdings Inc,US,1993-10-27,Machinery,8877.921872999998
ARQT,Arcutis Biotherapeutics Inc,US,2020-01-31,Biotechnology,734.8269159999999
PLTK,Playtika Holding Corp,IL,2021-01-15,Media,4266.375683
VINO,Gaucho Group Holdings Inc,US,2016-01-21,Industrial Conglomerates,2.481747
LWLG,Lightwave Logic Inc,US,2003-02-13,Electrical Equipment,533.2707019999999
HVBC,HV Bancorp Inc,US,2017-01-12,Banking,68.23499300000002
WSFS,WSFS Financial Corp,US,1986-11-26,Banking,2270.7391030000003
OXUS,Oxus Acquisition Corp,KZ,2021-08-26,,228.90036500136432
CWBR,CohBar Inc,US,2015-01-06,Biotechnology,5.348744
MHK,Mohawk Industries Inc,US,1992-04-01,Consumer products,5883.197061999999
FTII,Futuretech II Acquisition Corp,US,2022-02-16,,157.4556964814463
AVTR,Avantor Inc,US,2019-05-17,Life Sciences Tools & Services,13960.980579999998
BEEM,Beam Global,US,2010-04-30,Electrical Equipment,124.487651
RVPH,"Reviva Pharmaceuticals Holdings, Inc.",US,2018-10-18,Pharmaceuticals,92.64811600000002
ADER,26 Capital Acquisition Corp,US,2021-01-15,,358.874986
XM,Qualtrics International Inc,US,2021-01-28,Technology,10819.164952
SKX,Skechers USA Inc,US,1999-06-09,"Textiles, Apparel & Luxury Goods",7169.443633999998
TRGP,Targa Resources Corp,US,2010-12-07,Energy ,16982.089490000002
WHR,Whirlpool Corp,US,1955-09-19,Consumer products,6946.342797
PAHC,Phibro Animal Health Corp,US,2014-04-11,Pharmaceuticals,610.794406
CRBP,Corbus Pharmaceuticals Holdings Inc,US,2014-10-24,Biotechnology,32.327552000000004
TWNK,Hostess Brands Inc,US,2015-10-16,Food Products,3340.861926
DUNE,Dune Acquisition Corp,US,2020-12-18,,54.560922
PCT,Purecycle Technologies Inc,US,2020-06-11,Chemicals,1008.214119
PLAY,Dave & Buster's Entertainment Inc,US,2014-10-10,"Hotels, Restaurants & Leisure",1645.0622499999995
SRGA,Surgalign Holdings Inc,US,2000-08-10,Health Care,10.594235000000001
SCI,Service Corporation International,US,1981-05-22,Diversified Consumer Services,10688.926399
ASO,Academy Sports and Outdoors Inc,US,2020-10-02,Retail,4851.985869
CRL,Charles River Laboratories International Inc,US,2000-06-23,Life Sciences Tools & Services,10023.244574
SAFT,Safety Insurance Group Inc,US,2002-11-22,Insurance,1130.753116
DNB,Dun & Bradstreet Holdings Inc,US,2020-06-30,Professional Services,5004.547104000001
AFYA,Afya Ltd,BR,2019-07-19,Diversified Consumer Services,990.201375
ARAY,Accuray Inc,US,2007-02-08,Health Care,273.114912
EVOK,Evoke Pharma Inc,US,2013-09-25,Pharmaceuticals,6.753000999999999
IPGP,IPG Photonics Corp,US,2006-12-13,Electrical Equipment,5499.029985999999
MKTW,MarketWise Inc,US,2020-09-14,Financial Services,519.945295
BLIN,Bridgeline Digital Inc,US,2007-06-29,Technology,9.245628
VCXA,10X Capital Venture Acquisition II Corp,US,2021-08-11,,278.134585
BSRR,Sierra Bancorp,US,1993-10-27,Banking,252.15012099999998
CGBD,Carlyle Secured Lending Inc,US,2017-06-14,Financial Services,677.4410669999999
NRSN,Neurosense Therapeutics Ltd,IL,2021-12-09,Biotechnology,20.516276
ACST,Acasti Pharma Inc,CA,2011-03-31,Pharmaceuticals,26.285996227756065
SP,SP Plus Corp,US,2004-05-27,Commercial Services & Supplies,651.4642879999999
GBLI,Global Indemnity Group LLC,US,2003-12-16,Insurance,381.9167322540474
MTCH,Match Group Inc,US,1992-12-28,Media,9977.449444
DOLE,Dole PLC,IE,2021-07-30,Food Products,1118.86148
MS,Morgan Stanley,US,1986-03-21,Financial Services,141602.548327
ALTI,Alvarium Tiedemann Holdings Inc,US,2021-02-24,Financial Services,1370.506163
NBRV,Nabriva Therapeutics PLC,IE,2015-09-18,Pharmaceuticals,5.3619069999999995
ACMR,ACM Research Inc,US,2017-11-03,Semiconductors,663.3011309999999
BMAQ,Blockchain Moon Acquisition Corp,US,2021-10-19,,157.37715500000002
FXNC,First National Corp,US,1996-05-01,Banking,97.307175
HTGM,HTG Molecular Diagnostics Inc,US,2015-05-06,Health Care,5.225405
TARO,Taro Pharmaceutical Industries Ltd,IL,1961-01-01,Pharmaceuticals,914.497373
WSC,Willscot Mobile Mini Holdings Corp,US,2015-10-16,Construction,8293.173616
ITRN,Ituran Location and Control Ltd,IL,1998-05-01,Communications,442.23093200000005
IDAI,T Stamp Inc,US,2020-12-08,Technology,53.1546
CRGE,Charge Enterprises Inc,US,2006-11-16,Telecommunication,219.307771
ACIW,ACI Worldwide Inc,US,1993-11-02,Technology,2817.386323000001
ONTF,ON24 Inc,US,2021-02-03,Technology,408.37458500000014
GHC,Graham Holdings Co,US,1980-03-17,Diversified Consumer Services,2820.445484
CDRE,Cadre Holdings Inc,US,2021-11-04,Aerospace & Defense,794.804015
PSEC,Prospect Capital Corp,US,2004-07-27,Financial Services,2732.134609000001
GMED,Globus Medical Inc,US,2012-03-08,Health Care,5741.034169
GIGM,Giga Media Ltd,TW,2000-02-17,Media,15.583651999999999
DATS,DatChat Inc,US,2021-08-13,Technology,10.339607
ENS,EnerSys,US,2004-07-30,Electrical Equipment,3256.603895000001
LRFC,Logan Ridge Finance Corp,US,2013-09-25,Financial Services,53.54
MRIN,Marin Software Inc,US,2013-03-22,Technology,15.683860000000001
DGICB,Donegal Group Inc,US,1986-10-29,Insurance,490.83897600000006
LNKB,LINKBANCORP Inc,US,2020-02-19,Banking,99.0498
UTME,Utime Ltd,CN,2021-04-06,Electrical Equipment,7.183058
BGFV,Big 5 Sporting Goods Corp,US,2002-01-01,Retail,170.808748
RCKT,Rocket Pharmaceuticals Inc,US,2015-02-18,Biotechnology,1341.7705320000002
CTMX,CytomX Therapeutics Inc,US,2015-10-08,Biotechnology,103.31575500000001
MPWR,Monolithic Power Systems Inc,US,2004-11-19,Semiconductors,22404.120502000005
JBL,Jabil Inc,US,1998-05-05,Electrical Equipment,10890.728482999999
MCS,Marcus Corp,US,1972-09-21,Media,505.69010099999997
INVZ,Innoviz Technologies Ltd,IL,2020-05-05,Electrical Equipment,412.641371
ADP,Automatic Data Processing Inc,US,1961-09-01,Professional Services,89545.50982999998
ALIT,Alight Inc,US,2020-07-17,Professional Services,4909.844391
CRVL,CorVel Corp,US,1991-06-28,Health Care,3286.11715
GYRO,Gyrodyne LLC,US,2015-09-01,Real Estate,13.937192000000001
APLD,Applied Digital Corp,US,2002-07-22,Technology,236.18578
BAER,Bridger Aerospace Group Holdings Inc,US,2021-03-15,Commercial Services & Supplies,200.463349
MSTR,Microstrategy Inc,US,1986-09-16,Technology,3350.28724
BYSI,Beyondspring Inc,US,2017-03-09,Biotechnology,43.211103
RMBL,RumbleOn Inc,US,2014-07-02,Retail,115.898747
SNAL,Snail Inc,US,2022-11-10,Media,40.8911
CGA,China Green Agriculture Inc,CN,2007-09-27,Chemicals,54.326509
BRKL,Brookline Bancorp Inc,US,1998-03-25,Banking,931.870543
NVEI,Nuvei Corp,CA,2020-09-17,Financial Services,7697.800727
PET,Wag! Group Co,US,2021-08-30,Diversified Consumer Services,84.21485699999998
OR,Osisko Gold Royalties Ltd,CA,2014-06-02,Metals & Mining,4120.285794000001
TTOO,T2 Biosystems Inc,US,2014-08-07,Biotechnology,8.921188
NSTD,Northern Star Investment Corp IV,US,2017-10-06,,501.000023
CR,Crane Holdings Co,US,1936-10-26,Machinery,4519.099735047228
SSTI,Shotspotter Inc,US,2017-06-07,Technology,318.31485500000014
MSGM,Motorsport Games Inc,US,2021-01-13,Media,26.307748999999998
PTE,PolarityTE Inc,US,1999-08-13,Biotechnology,3.222452
CRMD,CorMedix Inc,US,2010-03-25,Pharmaceuticals,188.23411299999998
BKD,Brookdale Senior Living Inc,US,2005-11-22,Health Care,535.395812
RVSN,Rail Vision Ltd,IL,2022-03-31,Electrical Equipment,14.4654
FNKO,Funko Inc,US,2017-11-02,Distributors,468.92981100000003
CHKP,Check Point Software Technologies Ltd,IL,1996-06-28,Technology,16532.975013
SUP,Superior Industries International Inc,US,2009-07-21,Auto Components,133.18948999999998
PLTR,Palantir Technologies Inc,US,2020-09-30,Technology,17000.220764000005
SCYX,SCYNEXIS Inc,US,2014-05-02,Pharmaceuticals,115.634736
PINC,Premier Inc,US,2013-09-26,Health Care,3898.8484140000014
TMC,TMC the metals company Inc,CA,2020-06-26,Metals & Mining,210.604492
TRDA,Entrada Therapeutics Inc,US,2021-10-29,Biotechnology,456.122987
GNLN,Greenlane Holdings Inc,US,2019-04-18,Distributors,5.5622050000000005
STBX,Starbox Group Holdings Ltd,MY,2022-08-23,Media,158.4
BRD,Beard Energy Transition Acquisition Corp,US,2021-11-24,,298.1634210038535
VZ,Verizon Communications Inc,US,1984-02-15,Telecommunication,165811.371515
AXP,American Express Co,US,1977-05-18,Financial Services,118200.125996
DBI,Designer Brands Inc,US,2005-06-29,Retail,531.333039
TH,Target Hospitality Corp,US,2018-03-05,"Hotels, Restaurants & Leisure",1224.687463
TRCA,Twin Ridge Capital Acquisition Corp,US,2021-03-08,,273.285531
GDST,Goldenstone Acquisition Ltd,US,2022-03-17,,79.60869699999999
ROCL,Roth CH Acquisition V Co,US,2021-12-01,,153.11267699999996
NCRA,Nocera Inc,US,2003-01-02,Construction,10.722560000000001
BRP,BRP Group Inc,US,2019-10-24,Insurance,2949.929294
SPWR,SunPower Corp,US,2005-11-17,Electrical Equipment,2217.21925
